Nom,Commentaire,Secteur d'activité,Localisation,Nombre de postes,Url postes
Legos,"Chez numé, ils imaginent, fabriquent, commercialisent des produits alimentaires qui accompagnent les personnes malades dans leurs pathologies. Ça s’appelle de la nutrition médicale, et ça concerne un nombre malheureusement de plus en plus grand de gens dans le monde - des pathologies simples comme le diabète jusqu’aux personnes ne pouvant se nourrir que par sonde, en passant par une multitude de besoins intermédiaires.
Chez numé, ils ont plusieurs métiers :
Unidiet est une structure commerciale qui transforme les briefs de leurs clients B2B en produits concrets.
Cookinov est leur outil industriel qui entame une rénovation 2024/2025 pour devenir un site de pointe dédié à la nutrition médicale.
Des projets de marque sont également à l’étude pour apporter leur pierre à l’édifice de ce marché fascinant et exigeant.
La raison d’être de numé, ce sont définitivement les humains. Les leurs, leurs clients, et surtout ceux pour lesquels leurs produits peuvent être life-changer. C’est une motivation de tous les matins.","FoodTech, Grande consommation, Santé",Paris,5 offres,/fr/companies/legos/jobs
Mayday,"Fastory est une technologie de création de jeux 100% dédiée à l'engagement mobile.
Elle permet de créer facilement des expériences web immersives afin d’augmenter l’engagement des communautés et mieux connaître les attentes des fans sur Instagram, TikTok, Twitch etc.
Fastory collabore avec de nombreux clients en France et à l'international, notamment dans le sport (Ligue 1, AS Monaco, Winamax, FFT), le divertissement (Xiaomi, Asus) et la musique (Deezer, Believe, Paris La Défense Arena).
Notre mission est de devenir un acteur incontournable de l’engagement fans.","Application mobile, Digital, Jeux vidéo",Montreuil,3 offres,/fr/companies/mayday/jobs
Kingfisher Retail Media,"La mission d'Ingenius est de concevoir et construire des sites internet, e-commerce ou applications web de haute qualité, simples à utiliser et durables qui performent en conversion.
Ingenius est une agence digitale spécialisée en Wordpress, Woocommerce et en référencement naturel.
Notre objectif est de se servir de la puissance de Wordpress pour faire grossir le business de nos clients.","Design, Digital, Publicité",Paris,6 offres,/fr/companies/kingfisher-retail-media/jobs
SMEF AZUR,"Hier start-up, aujourd’hui scale-up, LEGOS est né d’une idée simple : rendre les télécoms accessibles.  Nous avons créé une plateforme permettant la convergence du fixe, du mobile, de la voix, des SMS et également de la data, le tout en marque blanche.
Multiculturel, innovant et ambitieux, Legos ambitionne de devenir l’opérateur convergé numéro 1 en faisant tomber les frontières des télécoms.
Agile et positionné sur des segments porteurs, Legos a connu ces dernières années une forte croissance, avec un chiffre d’affaires multiplié par deux sur les trois derniers exercices.
Au-delà de notre développement en France, nous étendons aujourd’hui notre ambition à l’ensemble de l’Europe. Nous rejoindre, c’est vouloir participer à une expérience humaine forte et un projet d’entreprise qui a du sens !","Application mobile, Electronique / Télécommunications, SaaS / Cloud Services",Paris,19 offres,/fr/companies/smef-azur/jobs
Mealz,"INOCO accompagne les organisations désireuses d'impacter positivement le monde à concrétiser leur transformation numérique.
Ils allient expertise technologique et valeurs sociales, offrant des services en développement complexe et solutions Cloud et DevOps.
Leur culture d'entreprise valorise la responsabilité sociale et l'actionnariat salarié, faisant d'INOCO un lieu de travail innovant et responsable.","Big Data, IT / Digital, Logiciels","Paris, Lyon",2 offres,/fr/companies/mealz/jobs
Greystar,"Avendcar, Marque du groupe LMC Mobilité, accompagne les particuliers dans l'achat ou la vente de véhicules d'occasions en s'appuyant sur un réseau de vendeurs automobiles indépendants implantés en France et dans les Dom-Tom.
Dans un marché où il s'échange chaque année en France plus de deux millions de véhicules d'occasion entre particuliers, Véritable alternative aux concessions automobiles, Avendcar est la solution qui facilite, encadre et sécurise l'achat et la vente d'une voiture d'occasion.","Accompagnement d'entreprises, Automobile, Mobilité",Villeneuve-D'ascq,Candidatures spontanées !,/fr/companies/greystar/jobs
Ellis Alliance,"Créée en 2005, Miliboo est LA marque française de mobilier design en ligne.
Basée à Annecy et disposant de notre propre entrepôt à Saint-Martin-de-Crau, nous sommes aujourd'hui présent dans 6 pays européens (France, Espagne, Italie, Allemagne, Belgique et Luxembourg).
Miliboo c'est aussi 4 showrooms (2 à Paris, 1 à Lyon et 1 à Annecy), dans lesquels «l’expérience client » prend tout son sens.
De la création des produits jusqu'à la livraison chez ses clients; Miliboo maitrise l'ensemble de sa chaine de valeur. Avec un catalogue de 2 600 références, la marque propose une offre large et exclusive de mobilier tendance, au design fonctionnel pour toutes les pièces de la maison, à prix abordable.
Fiers de notre approche éco-responsable, nous nous efforçons de minimiser notre impact sur l'environnement en sélectionnant des matériaux durables et en favorisant des méthodes de production respectueuses de la planète.","Art de vivre, E-commerce","Chavanod, Paris",Candidatures spontanées !,/fr/companies/ellis-alliance/jobs
Ekimetrics,"Leader en data science, Ekimetrics fournit des solutions d’IA conçues pour accompagner une performance business plus durable. Nous aidons les entreprises à générer de la valeur pérenne grâce à leurs données et à développer des solutions IA pré-industrialisées. Notre obsession : garantir un impact fort à court terme, tout en soutenant les objectifs d’entreprise à long terme.
Quelques chiffres clés :

16 années d’expérience en Data Science
+400 data scientists
4 bureaux à Paris, Londres, New York & Hong Kong
+350 clients (CAC40, Fortune500)
+$1M de profit généré pour nos clients depuis 2006
+1000 projets Data Science
 7000 tonnes de CO2 évitées pour nos clients en 2022
","Audit, Big Data, IT / Digital, Stratégie","Paris, London, New York, Wan Chai",27 offres,/fr/companies/ekimetrics/jobs
Safran,"Strada Education est un groupe d’éducation spécialisé dans le soutien scolaire et la préparation aux concours. Depuis sa création, l’équipe a à cœur de repousser les limites de la pédagogie avec pour objectif d’améliorer la transmission des connaissances et d’accompagner les étudiants dans leur accomplissement personnel.
Forte de son succès, sur ses 2 marques historiques, Strada ambitionne de conquérir de nouveaux marchés pour accompagner davantage d’étudiants dans la réussite de leurs études et de leur vie professionnelle.
Convaincus que l’éducation doit être au service de tous, Strada Education, est engagée au service de l’égalité des chances. Elle a ainsi accompagné en 2021 plus de 500 étudiants boursiers dans la réussite de leur projet.","Digital, EdTech, Education",Paris,1537 offres,/fr/companies/safran/jobs
Key Consulting,"Fondé en 2015 par Chloé Fournier, Welkeys est un service haut de gamme de location saisonnière avec services de conciergerie.
Welkeys accompagne au quotidien, des milliers de propriétaires de résidences principales et secondaires, investisseurs, foncières et promoteurs dans leur processus de mise en location.
Notre savoir-faire s'étend sur toute la chaine de valeur de la gestion locative. Nous gérons pour nos clients propriétaires : la création d'annonce multi-langues, le shooting photo réalisé par une agence professionnelle, la diffusion et la commercialisation du bien via notre plateforme le Club Welkeys et sur les principales OTA (Airbnb, Booking, VRBO). Nous mettons en place des stratégie inspirées du yield management hôtelier pour maximiser les revenus et le taux d'occupation dans nos biens et enfin, nous gérons avec soin les échanges avec nos voyageurs avant, pendant et après le séjour.
Tous nos voyageurs bénéficient d'un accueil personnalisé par nos agents, d'un service de ménage et de linge hôtelier dans la location.
Nous avons à coeur d'offrir une expérience unique, l'expérience Welkeys dans chacun de nos biens et ce dans chacune de nos destinations.
Welkeys c’est aujourd'hui 20 personnes salariées au siège à Paris, 22 partenaires city managers dans 30 destinations en France.
Grâce à notre  réseau de partenaire city manager, Welkeys a déjà accueilli plus de 200 000 voyageurs et accompagne plus de 1 300 propriétaires dans la gestion de leur bien chaque jour.
Notre objectif : devenir leader de la location saisonnière avec service de conciergerie en Europe occidentale.","Hôtellerie, Immobilier particulier, Tourisme","Paris, Aix-Les-Bains, Annecy, Arcachon, Bagnères-De-Bigorre, Biarritz, Bidart, Bordeaux, Cannes, Cassis, Chamonix-Mont-Blanc, Cogolin, Deauville, Grenoble, Guéthary, Hendaye, Huez, Hyères, La Clusaz, La Rochelle, Le Havre, Les Deux Alpes, Levallois-Perret, Lille, Lyon, Lège-Cap-Ferret, Marne-La-Vallée, Marseille, Megève, Nantes, Nice, Quiberon, Reims, Rivedoux-Plage, Saint-François, Saint-Gervais, Saint-Jean-De-Luz, San Sebastián, Soorts-Hossegor, Soustons, Toulon/fréjus, Toulouse, Vannes, Versailles",8 offres,/fr/companies/key-consulting/jobs
Kwanko,"Ericsson est l’un des principaux fournisseurs d’infrastructures télécoms, partenaire de la majorité des acteurs télécoms opérant en France.
Ericsson intervient également pour les entreprises qui ont des besoins croissants en services télécoms. Ericsson est le plus important équipementier sur les déploiements 4G et 5G en France.
Nos collaborateurs contribuent quotidiennement à la création de valeur et au développement de l’innovation, notamment via notre centre de R&D, ouvert début 2020.","Cybersécurité, Electronique / Télécommunications, Intelligence artificielle / Machine Learning",Massy,6 offres,/fr/companies/kwanko/jobs
